Designator,Mid X,Mid Y,Layer,Rotation
BLUETOOTH1,84.88mm,82.5mm,Top,90.0
C1,10.209999mm,44.0mm,Top,0.0
CPU1,31.80001mm,86.4mm,Top,270.0
F2,8.5mm,30.0mm,Top,180.0
F11,40.97mm,24.7875mm,Top,90.0
F12,44.0mm,24.7875mm,Top,90.0
F13,47.5mm,24.7875mm,Top,90.0
F14,50.5mm,24.7875mm,Top,90.0
J1,82.2mm,-3.8mm,Top,0.0
J2,11.56mm,102.0mm,Top,0.0
MAP1,10.32mm,50.595mm,Top,180.0
R1,32.295mm,34.0mm,Top,270.0
R2,34.995mm,34.0mm,Top,270.0
R3,40.795mm,34.0mm,Top,270.0
R4,43.295mm,34.0mm,Top,270.0
R5,68.0mm,34.2mm,Top,270.0
R6,65.5mm,34.2mm,Top,270.0
R7,18.7mm,30.0mm,Top,180.0
R8,14.7mm,30.0mm,Top,180.0
R9,17.049979mm,37.5mm,Top,0.0
R11,41.0mm,21.0mm,Top,90.0
R12,44.0mm,21.0mm,Top,90.0
R13,47.5mm,21.0mm,Top,90.0
R14,50.5mm,21.0mm,Top,90.0
R21,60.0mm,34.15mm,Top,90.0
R22,57.5mm,34.15mm,Top,90.0
R23,52.0mm,34.2mm,Top,90.0
R24,49.0mm,34.2mm,Top,90.0
R31,24.5mm,95.549999mm,Top,270.0
R32,27.5mm,95.549999mm,Top,270.0
R33,30.5mm,95.549999mm,Top,270.0
R41,27.049979mm,81.5mm,Top,0.0
R42,27.049979mm,84.5mm,Top,0.0
R43,17.049979mm,33.5mm,Top,0.0
U1,33.39mm,42.85mm,Top,0.0
U2,41.69mm,42.975mm,Top,0.0
U3,66.595mm,42.975mm,Top,0.0
U9,58.595mm,42.975mm,Top,0.0
U10,50.095mm,42.975mm,Top,0.0
USB1,85.5mm,91.0mm,Top,0.0
R148,66.00001mm,74.60000000000001mm,Bottom,90.0
R142,66.90001000000001mm,73.2mm,Bottom,90.0
U108,33.80901mm,57.019800000000004mm,Top,270.0
VD103,38.39501mm,54.2mm,Bottom,180.0
U101,63.24641mm,82.25mm,Top,180.0
C119,58.51941mm,74.5999mm,Bottom,270.0
R147,66.31631mm,65.58840000000001mm,Bottom,270.0
R146,64.90001000000001mm,85.26610000000001mm,Bottom,180.0
R141,66.90001000000001mm,72.2mm,Bottom,90.0
U102,61.52851mm,77.1435mm,Bottom,90.0
R109,60.93281mm,77.08370000000001mm,Top,90.0
R108,60.54401mm,80.0mm,Bottom,90.0
Q103,62.996809999999996mm,76.3572mm,Top,90.0
Q102,65.60001mm,71.805mm,Top,90.0
Q101,65.83501mm,77.5275mm,Bottom,270.0
Q100,63.195009999999996mm,80.9mm,Bottom,180.0
L100,47.15001mm,71.0006mm,Bottom,90.0
F100,65.82840999999999mm,69.14500000000001mm,Bottom,90.0
C120,46.99951mm,72.8999mm,Top,270.0
C107,63.60001mm,78.0215mm,Bottom,270.0
C106,59.256910000000005mm,77.99650000000001mm,Bottom,270.0
U110,57.20491mm,78.4469mm,Bottom,180.0
R145,54.24471mm,78.40780000000001mm,Bottom,270.0
R144,55.19021mm,78.40780000000001mm,Bottom,270.0
R143,43.03121mm,85.0032mm,Bottom,180.0
R107,65.17841mm,76.2861mm,Top,270.0
D108,66.55001mm,76.6469mm,Top,90.0
U107,43.003910000000005mm,55.29350000000001mm,Bottom,270.0
U106,56.43181mm,54.607600000000005mm,Top,270.0
C134,41.26761mm,55.29350000000001mm,Bottom,270.0
C126,58.37511mm,54.30480000000001mm,Top,90.0
VD102,38.39501mm,57.55380000000001mm,Bottom,180.0
VD101,34.00501mm,54.2mm,Bottom,0.0
VD100,34.00501mm,57.55380000000001mm,Bottom,0.0
U109,36.28401mm,57.019800000000004mm,Top,270.0
U103,49.62501mm,79.9mm,Bottom,180.0
U100,56.30051mm,82.29990000000001mm,Top,0.0
U195,42.15001mm,75.10000000000001mm,Top,0.0
U190,42.15001mm,60.900000000000006mm,Top,0.0
U185,42.15001mm,82.2mm,Top,0.0
U180,42.15001mm,68.0mm,Top,0.0
S101,65.41431mm,66.2003mm,Top,270.0
S100,52.30001mm,55.05350000000001mm,Top,0.0
R140,36.10001mm,61.099900000000005mm,Bottom,270.0
R111,47.45001mm,84.9mm,Bottom,90.0
R112,48.50001mm,84.9mm,Bottom,90.0
R117,53.75001mm,84.9mm,Bottom,90.0
R115,51.65001mm,84.9mm,Bottom,90.0
R116,52.70001mm,84.9mm,Bottom,90.0
R114,50.60001mm,84.9mm,Bottom,90.0
R113,49.55001mm,84.9mm,Bottom,90.0
R110,46.40001mm,84.9mm,Bottom,90.0
R120,59.58701mm,54.581700000000005mm,Top,270.0
R100,56.30001mm,85.1999mm,Bottom,0.0
R258,35.59491mm,64.4423mm,Bottom,180.0
R255,33.70001mm,85.25mm,Bottom,180.0
R256,38.30001mm,63.50000000000001mm,Bottom,0.0
R254,36.15001mm,85.35000000000001mm,Top,180.0
R245,34.65001mm,67.79990000000001mm,Bottom,270.0
R227,34.65001mm,72.60000000000001mm,Bottom,270.0
R200,34.65001mm,82.1999mm,Bottom,270.0
R197,43.50001mm,75.0999mm,Bottom,90.0
R196,40.70001mm,75.10000000000001mm,Bottom,270.0
R195,40.20001mm,72.24990000000001mm,Bottom,180.0
R191,43.50001mm,61.00000000000001mm,Bottom,90.0
R190,40.70001mm,61.00000000000001mm,Bottom,270.0
R186,43.50001mm,82.2mm,Bottom,90.0
R185,40.70001mm,82.2mm,Bottom,270.0
R181,43.50001mm,68.0mm,Bottom,90.0
R180,40.70001mm,68.0mm,Bottom,270.0
R139,33.60001mm,59.900000000000006mm,Top,180.0
R138,33.60001mm,61.10000000000001mm,Top,180.0
R137,33.60001mm,62.300000000000004mm,Top,180.0
R136,33.60001mm,63.50000000000001mm,Top,180.0
R135,34.60001mm,59.900000000000006mm,Top,0.0
R132,34.60001mm,61.10000000000001mm,Top,0.0
R126,34.60001mm,62.300000000000004mm,Top,0.0
R124,34.60001mm,63.50000000000001mm,Top,0.0
R119,47.50001mm,84.30000000000001mm,Top,0.0
R118,51.60001mm,84.30000000000001mm,Top,0.0
R253,33.60001mm,65.9mm,Top,0.0
R252,33.60001mm,67.10000000000001mm,Top,0.0
R251,33.60001mm,68.30000000000001mm,Top,0.0
R250,33.60001mm,69.5mm,Top,0.0
R249,34.60001mm,65.9mm,Top,180.0
R248,34.60001mm,67.10000000000001mm,Top,180.0
R247,34.60001mm,68.30000000000001mm,Top,180.0
R246,34.60001mm,69.5mm,Top,180.0
R235,33.60001mm,70.7mm,Top,0.0
R234,33.60001mm,71.9mm,Top,0.0
R233,33.60001mm,73.10000000000001mm,Top,0.0
R232,33.60001mm,74.30000000000001mm,Top,0.0
R231,34.60001mm,70.7mm,Top,180.0
R230,34.60001mm,71.9mm,Top,180.0
R229,34.60001mm,73.10000000000001mm,Top,180.0
R228,34.60001mm,74.30000000000001mm,Top,180.0
R226,33.60001mm,75.5mm,Top,180.0
R225,33.60001mm,76.7mm,Top,180.0
R224,33.60001mm,77.9mm,Top,180.0
R223,33.60001mm,79.10000000000001mm,Top,180.0
R222,34.60001mm,75.5mm,Top,0.0
