Comment,Designator,Footprint,LCSC Part #
"Conn_01x04_Pin","BLUETOOTH1","PinSocket_1x04_P2.54mm_Vertical","C22438154"
"100n","C1","C0603","C14663"
"Module:mega-mcu100/0.3","CPU1","mega-mcu100",""
"12H1500D","F2","PAD-1206-PAD","C182446"
"50mA","F11","Fuse_0603_1608Metric","C369141"
"50mA","F12","Fuse_0603_1608Metric","C369141"
"50mA","F13","Fuse_0603_1608Metric","C369141"
"50mA","F14","Fuse_0603_1608Metric","C369141"
"Conn_01x24","J1","24pin",""
"Conn_01x20","J2","TE_2-826576-0_1x20_P3.96mm_Vertical",""
"Module:power_12and5V/0.2","M1","power_12and5V",""
"Module:vr-max9924/0.1","M4","vr-max9924",""
"GZP6869D200KPP","MAP1","MPXH6400A-SSOP8","C3038053"
"4.7k","R1","R0603","C23162"
"4.7k","R2","R0603","C23162"
"4.7k","R3","R0603","C23162"
"4.7k","R4","R0603","C23162"
"4.7k","R5","R0603","C23162"
"4.7k","R6","R0603","C23162"
"6.8k","R7","R0603","C23212"
"33k","R8","R0603","C4216"
"Jumper-Pad-Pad","R9","PAD-0805-PAD","C17477"
"0","R11","R0603","C21189"
"0","R12","R0603","C21189"
"0","R13","R0603","C21189"
"0","R14","R0603","C21189"
"4.7k","R21","R0603","C23162"
"4.7k","R22","R0603","C23162"
"4.7k","R23","R0603","C23162"
"4.7k","R24","R0603","C23162"
"10k","R31","R0805","C17414"
"10k","R32","R0805","C17414"
"10k","R33","R0805","C17414"
"2.7K","R41","R0805","ERA6AEB272V"
"2.7K","R42","R0805","ERA6AEB272V"
"10k","R43","R0805","C17414"
"VNLD5160TR-E","U1","SO8","C377942"
"VNLD5160TR-E","U2","SO8","C377942"
"VNLD5160TR-E","U3","SO8","C377942"
"VNLD5160TR-E","U9","SO8","C377942"
"VNLD5160TR-E","U10","SO8","C377942"
"Conn_01x04_Pin","USB1","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C265289"
